Y_PROJ,X_PROJ,IND,Juv,F
4237070.915208,338353.090025,1,0,N
4237382.934729,340636.687722,2,0,F
4237378.877897,341243.12068,2,0,F
4237393.133523,341197.962241,2,0,F
4237348.793655,341065.843268,2,0,F
4237426.530957,341026.962289,2,0,F
4238153.014092,340522.254692,2,0,F
4236544.394321,340635.721232,2,0,F
4236877.740292,341943.97816,2,0,F
4237044.481638,341770.131561,2,0,F
4236992.274024,340983.279576,2,0,F
4238250.077123,343779.95652,2,0,F
4236581.553857,342570.616658,2,0,F
4238397.323146,342822.44528,2,0,F
4240044.924522,346632.035333,2,0,F
4239994.824855,347093.280228,2,0,F
4239507.406042,347462.237844,2,0,F
4239163.606792,347588.207436,2,0,F
4240108.476235,346688.241945,2,0,F
4239440.929597,346175.715175,2,0,F
4238802.697294,346220.155821,2,0,F
4237850.23655,346756.424687,2,0,F
4237071.24291,346747.968252,2,0,F
4237013.612137,346014.183468,2,0,F
4237622.231855,348112.135328,2,0,F
4239466.024063,341826.641464,2,0,F
4239386.007269,341688.325352,2,0,F
4239372.597471,341596.699225,2,0,F
4239054.887229,341572.010349,2,0,F
4239682.616676,345161.544622,2,0,F
4238630.652084,346649.499225,2,0,F
4238615.940457,348400.559675,2,0,F
4238479.536773,348044.582924,2,0,F
4235613.80203,347765.51164,2,0,F
4235683.869754,347810.196991,2,0,F
4236802.25866,349159.458298,2,0,F
4237059.78499,337995.104445,2,0,F
4237900.073826,336256.628604,2,0,F
4237839.682639,335967.109372,2,0,F
4236545.654934,337416.522016,2,0,F
4236773.049113,338312.345918,2,0,F
4237354.960845,339956.413066,2,0,F
4236970.406461,338929.319781,2,0,F
4237459.697646,338095.085759,2,0,F
4236923.182516,339024.214685,2,0,F
4237426.515809,339179.489913,2,0,F
4236229.341002,337053.126715,2,0,F
4236090.461118,337139.922539,2,0,F
4236370.792926,335338.996461,2,0,F
4236366.523296,334846.353978,2,0,F
4235966.269477,336375.03774,2,0,F
4235907.582018,335950.367462,2,0,F
4235525.953792,335983.444114,2,0,F
4235196.82489,341166.820447,2,0,F
4235177.41197,339949.389296,2,0,F
4240802.161698,357544.483655,2,0,F
4240914.528487,357829.167204,2,0,F
4240372.194658,357693.952335,2,0,F
4240048.394922,356671.860741,2,0,F
4240352.993738,357422.327582,2,0,F
4240046.809873,357327.973137,2,0,F
4240441.425146,357229.323411,2,0,F
4241064.438374,359958.8659,2,0,F
4235584.308226,350070.274682,2,0,F
4237825.906447,348220.22151,2,1,F
4237652.238103,344975.578805,3,0,N
4237309.417382,336186.495198,3,0,N
4237240.214891,340359.708901,3,1,F
4237910.911685,341965.520533,3,1,F
4239093.392925,346604.705236,3,1,F
4239618.141757,346661.349321,3,1,F
4240007.06645,346629.955481,3,1,F
4240139.56754,346736.964557,3,1,F
4238644.111061,345459.802893,3,1,F
4238375.110112,345846.561551,3,1,F
4238252.65379,346530.51848,3,1,F
4237092.056813,346840.31483,3,1,F
4236529.10091,346222.016552,3,1,F
