Y_PROJ,X_PROJ,IND,Juv,F
4239941.614802,343025.725643,2,0,F
4239967.296589,343130.387683,2,0,F
4239975.841337,343167.927423,2,0,F
4238968.143022,342793.487229,2,0,F
4235670.813266,347868.710436,2,0,F
4236003.764764,347197.700335,2,0,F
4236856.213695,347181.437248,2,0,F
4235679.503874,347823.945511,2,0,F
4239421.305039,347866.402011,2,0,F
4238164.098272,342708.425099,2,0,F
4238979.198813,343043.828936,2,0,F
4236576.851339,342552.690383,2,0,F
4237207.185048,342409.562466,2,0,F
4238003.181718,342413.797629,2,0,F
4238484.939215,343493.364744,2,0,F
4237088.454753,348868.556439,2,0,F
4235834.697736,348321.142059,2,0,F
4238256.971437,347708.237077,2,0,F
4239662.270758,346435.336301,2,0,F
4239763.347823,346481.615497,2,0,F
4239998.928857,346865.707374,2,0,F
4240023.758177,347073.462895,2,0,F
4237968.479969,348192.494134,2,0,F
4237818.328409,348205.97914,2,0,F
4236341.630514,345085.89371,2,0,F
4237650.468619,344967.576881,2,0,F
4237944.617482,346111.031069,2,0,F
4238406.51903,346321.186759,2,0,F
4240601.723286,346631.99965,2,0,F
4240091.635729,345679.12989,2,0,F
4237094.225671,341866.745935,2,0,F
4236488.290335,341120.834641,2,0,F
4236872.459342,341649.177038,2,0,F
4235191.98732,336339.758407,2,0,F
4236377.568275,336278.504258,2,0,F
4236463.750221,336205.126893,2,0,F
4234851.195058,336291.296998,2,0,F
4237192.266221,335909.860073,2,0,F
4236976.351076,335853.590786,2,0,F
4237532.198478,336986.326374,2,0,F
4237290.24012,336463.25048,2,0,F
4237534.64233,336017.573169,2,0,F
4237665.015787,336020.173591,2,0,F
4237326.783222,335933.181203,2,0,F
4237965.74914,336371.762945,2,0,F
4237918.937257,336054.439582,2,0,F
4237274.271427,337685.882654,2,0,F
4237270.706554,337777.433489,2,0,F
4237368.202217,337741.18352,2,0,F
4235830.268029,337242.108473,2,0,F
4238101.679377,338975.730948,2,0,F
4237438.994405,339160.001834,2,0,F
4237172.181126,338658.768537,2,0,F
4238680.102054,339029.58878,2,0,F
4239134.392934,340287.621971,2,0,F
4235535.878926,340022.631914,2,0,F
4234420.202663,341339.210202,2,0,F
4234805.442838,340556.603214,2,0,F
4237423.118318,340998.120635,2,0,F
4237804.529967,341138.113189,2,0,F
4237916.226052,341941.179876,2,0,F
4237765.207396,341682.512672,2,0,F
4238114.443183,340700.277124,2,0,F
4238103.235814,340623.61039,2,0,F
4237487.2488,352168.889417,2,0,F
4238739.942002,352723.250625,2,0,F
4239525.972363,355336.977941,2,0,F
4241135.986327,357928.941439,2,0,F
