No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,WNC,38.294486,127.210182,4240004.929,343483.262,2,0,F
2,WNC,38.290358,127.208421,4239549.799,343320.3414,2,0,F
3,WNC,38.258177,127.247294,4235913.551,346652.5416,3,1,F
4,WNC,38.255602,127.245389,4235630.915,346480.4021,3,1,F
5,WNC,38.252733,127.239281,4235322.751,345939.9052,3,1,F
6,WNC,38.251375,127.240436,4235170.151,346038.1255,3,1,F
7,WNC,38.253433,127.242912,4235394.328,346259.1387,3,1,F
8,WNC,38.256758,127.24444,4235760.837,346399.7637,4,2,F
9,WNC,38.259398,127.250919,4236042.994,346972.2883,4,2,F
10,WNC,38.259226,127.250264,4236025.001,346914.5936,4,2,F
11,WNC,38.260558,127.249195,4236174.619,346823.8131,4,2,F
12,WNC,38.260641,127.246554,4236188.154,346592.9248,4,2,F
13,WNC,38.259251,127.2387,4236047.006,345902.7964,3,1,F
14,WNC,38.25968,127.241888,4236089.297,346182.6509,3,1,F
15,WNC,38.259341,127.245537,4236045.584,346501.1948,3,1,F
16,WNC,38.258331,127.236742,4235948.166,345729.5927,2,0,F
17,WNC,38.261594,127.246088,4236294.653,346554.171,2,0,F
18,WNC,38.258468,127.250967,4235939.687,346974.4738,2,0,F
19,WNC,38.257152,127.262316,4235775.006,347964.8104,4,2,F
20,WNC,38.261586,127.2626,4236266.513,347998.8803,3,1,F
21,WNC,38.258254,127.258918,4235902.886,347669.7385,3,1,F
22,WNC,38.267817,127.252288,4236974.99,347109.6744,3,1,F
23,WNC,38.263912,127.255013,4236537.127,347339.9062,2,0,F
24,WNC,38.265,127.253165,4236660.939,347180.5386,2,0,F
25,WNC,38.255745,127.259567,4235623.333,347721.2985,5,2,N
26,WNC,38.290578,127.262796,4239483.415,348076.4275,2,0,F
27,WNC,38.294659,127.258195,4239943.858,347682.6343,27,2,N
28,WNC,38.294264,127.261396,4239894.782,347961.6845,13,0,N
29,WNC,38.29356,127.260548,4239818.047,347886.0556,4,2,F
30,WNC,38.296801,127.259138,4240180.081,347769.527,4,2,F
31,WNC,38.294588,127.259151,4239934.383,347766.0288,3,1,F
32,WNC,38.295437,127.258948,4240029.019,347750.1031,3,1,F
33,WNC,38.295012,127.256794,4239985.332,347560.8339,3,1,F
34,WNC,38.299139,127.271827,4240418.628,348884.0782,2,0,F
35,WNC,38.300485,127.273699,4240564.928,349050.5694,2,0,F
36,WNC,38.301737,127.267705,4240713.725,348528.9647,2,0,F
