No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,RCC,38.295898,127.245467,4240102.463,346572.1561,50,2,N
2,RCC,38.273627,127.313927,4237519.643,352514.039,34,5,N
3,RCC,38.299011,127.245084,4240448.612,346545.1511,27,2,N
4,RCC,38.296435,127.245589,4240161.863,346583.9405,19,5,N
5,RCC,38.294119,127.211469,4239962.084,343595.0738,12,0,N
6,RCC,38.264288,127.244729,4236595.961,346440.9845,11,0,N
7,RCC,38.299203,127.242022,4240475.022,346277.8305,10,0,N
8,RCC,38.258985,127.128739,4236206.492,336280.925,10,2,N
9,RCC,38.256129,127.243032,4235693.435,346275.2834,7,0,N
10,RCC,38.281708,127.216795,4238575.788,344034.3006,5,0,N
11,RCC,38.294366,127.248831,4239926.929,346863.1101,5,2,N
12,RCC,38.262076,127.24025,4236357.945,346044.457,4,0,N
13,RCC,38.284047,127.220264,4238829.491,344342.7551,4,2,F
14,RCC,38.259351,127.136943,4236232.519,336999.5874,4,2,F
15,RCC,38.269483,127.124236,4237379.37,335910.5768,4,2,F
16,RCC,38.283011,127.21759,4238719.069,344106.6601,4,2,F
17,RCC,38.255048,127.245461,4235569.339,346485.562,4,2,F
18,RCC,38.293014,127.353271,4239608.933,355994.1492,4,2,F
19,RCC,38.260887,127.243706,4236220.253,346344.3267,4,2,F
20,RCC,38.266467,127.181075,4236945.422,340876.5721,4,2,F
21,RCC,38.29988,127.243206,4240548.162,346382.7646,4,2,F
22,RCC,38.290431,127.207316,4239559.812,343223.9189,4,2,F
23,RCC,38.258217,127.239734,4235930.582,345991.141,4,2,F
24,RCC,38.254738,127.087777,4235808.467,332687.1027,4,2,F
25,RCC,38.27428,127.186339,4237803.366,341354.1278,4,2,F
26,RCC,38.285146,127.218391,4238954.583,344181.2214,4,2,F
27,RCC,38.274322,127.263192,4237678.909,348077.2674,4,2,F
28,RCC,38.283341,127.179961,4238819.795,340815.9933,4,2,F
29,RCC,38.273761,127.163796,4237784.631,339380.9206,4,2,F
30,RCC,38.25615,127.24214,4235697.22,346197.2777,4,2,F
31,RCC,38.282993,127.191993,4238760.559,341867.6261,4,2,F
32,RCC,38.293473,127.365881,4239640.313,357097.8187,4,2,F
33,RCC,38.27032,127.236605,4237278.834,345743.0091,4,2,F
34,RCC,38.298322,127.270438,4240330.338,348760.9255,4,2,F
35,RCC,38.265121,127.158825,4236834.55,338926.9569,4,2,F
36,RCC,38.276287,127.183223,4238031.376,341085.8776,4,2,F
37,RCC,38.28187,127.254466,4238530.865,347329.6927,4,2,F
38,RCC,38.266407,127.232347,4236851.72,345362.1606,4,2,F
39,RCC,38.274696,127.201193,4237824.096,342654.4769,4,2,F
40,RCC,38.285561,127.26882,4238916.926,348592.9469,4,0,N
41,RCC,38.271043,127.178176,4237458.135,340632.9301,4,2,F
42,RCC,38.294703,127.22053,4240011.562,344388.7262,4,2,F
43,RCC,38.282761,127.233421,4238664.701,345490.801,4,2,F
44,RCC,38.292423,127.230016,4239742.654,345213.5354,4,2,F
45,RCC,38.260966,127.128128,4236427.343,336231.9377,4,2,F
46,RCC,38.264374,127.189786,4236698.202,341634.1092,4,2,F
47,RCC,38.26865,127.20332,4237149.627,342827.4683,4,2,F
48,RCC,38.291148,127.261715,4239548.546,347983.1142,4,2,F
49,RCC,38.268957,127.151698,4237272.645,338311.9097,3,1,F
50,RCC,38.271377,127.196124,4237464.407,342203.8097,3,1,F
51,RCC,38.260253,127.140249,4236326.792,337290.8508,3,1,F
52,RCC,38.300023,127.363062,4240371.554,356864.1687,3,1,F
53,RCC,38.288211,127.257451,4239229.67,347604.1114,3,1,F
54,RCC,38.279192,127.213266,4238302.536,343720.2306,3,1,F
55,RCC,38.29796,127.218627,4240376.178,344229.3036,3,1,F
56,RCC,38.25385,127.146348,4235605.619,337810.312,3,1,F
57,RCC,38.254752,127.278183,4235482.765,349348.2528,3,1,F
58,RCC,38.269784,127.178127,4237318.496,340625.9071,3,1,F
59,RCC,38.261924,127.197734,4236412.657,342324.2447,3,1,F
60,RCC,38.250499,127.079312,4235353.38,331936.5714,3,1,F
