No,TYPE,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,F
251,WNC,38.279279,127.224916,4238292.561,344739.4483,1,0,N
252,WNC,38.291445,127.224182,4239643.881,344701.1834,1,0,N
253,WNC,38.295003,127.226994,4240034.025,344954.7431,1,0,N
274,WNC,38.290161,127.187117,4239564.341,341456.7845,1,0,N
453,WNC,38.305406,127.392553,4240923.628,359453.4691,1,0,N
155,WNC,38.278088,127.24203,4238131.824,346233.9288,2,0,F
156,WNC,38.286965,127.235524,4239127.743,345683.6246,2,0,F
157,WNC,38.285128,127.233085,4238927.924,345466.4722,2,0,F
158,WNC,38.284086,127.233193,4238812.195,345473.694,2,0,F
159,WNC,38.281169,127.233561,4238487.886,345499.6539,2,0,F
160,WNC,38.283676,127.231395,4238769.658,345315.5401,2,0,F
161,WNC,38.278465,127.246706,4238165.95,346643.8174,2,0,F
162,WNC,38.279903,127.240648,4238335.533,346116.9277,2,0,F
163,WNC,38.284967,127.243516,4238892.744,346378.4931,2,0,F
164,WNC,38.27662,127.247772,4237959.392,346733.174,2,0,F
165,WNC,38.269394,127.252146,4237150.258,347100.5965,2,0,F
166,WNC,38.275967,127.245258,4237891.133,346511.8389,2,0,F
167,WNC,38.270048,127.241741,4237240.158,346191.7455,2,0,F
168,WNC,38.266478,127.245197,4236838.179,346486.5451,2,0,F
169,WNC,38.262913,127.246208,4236440.9,346567.486,2,0,F
170,WNC,38.262591,127.254262,4236391.845,347271.5044,2,0,F
171,WNC,38.261112,127.260678,4236217.142,347829.79,2,0,F
172,WNC,38.261579,127.275308,4236245.006,349110.8014,2,0,F
173,WNC,38.269664,127.267216,4237155.438,348419.6074,2,0,F
174,WNC,38.261144,127.253415,4236232.681,347194.3705,2,0,F
175,WNC,38.261305,127.251618,4236253.539,347037.4198,2,0,F
176,WNC,38.260188,127.250779,4236130.942,346961.6801,2,0,F
177,WNC,38.255511,127.247967,4235616.618,346705.8556,2,0,F
178,WNC,38.260849,127.248729,4236207.66,346783.7743,2,0,F
179,WNC,38.263151,127.258603,4236446.88,347652.4749,2,0,F
180,WNC,38.264538,127.241155,4236629.639,346128.8653,2,0,F
181,WNC,38.264183,127.234378,4236601.592,345535.1418,2,0,F
182,WNC,38.265926,127.230002,4236802.273,345156.0129,2,0,F
183,WNC,38.266214,127.229223,4236835.56,345088.4364,2,0,F
184,WNC,38.268852,127.229992,4237127.023,345161.3403,2,0,F
185,WNC,38.272304,127.222698,4237522.339,344530.6161,2,0,F
186,WNC,38.270263,127.222682,4237295.828,344524.8481,2,0,F
187,WNC,38.269765,127.217025,4237250.109,344028.8629,2,0,F
188,WNC,38.275983,127.222695,4237930.523,344538.1755,2,0,F
189,WNC,38.278512,127.22689,4238204.128,344910.5288,2,0,F
190,WNC,38.279701,127.225436,4238338.567,344785.8611,2,0,F
191,WNC,38.284394,127.224929,4238860.173,344751.5246,2,0,F
192,WNC,38.286365,127.221909,4239083.929,344491.5911,2,0,F
193,WNC,38.280357,127.211585,4238434.698,343575.6325,2,0,F
194,WNC,38.295448,127.227385,4240082.748,344989.8525,2,0,F
195,WNC,38.298641,127.234479,4240425.2,345616.9705,2,0,F
196,WNC,38.291895,127.222033,4239697.476,344514.2335,2,0,F
197,WNC,38.301051,127.233522,4240694.22,345538.4689,2,0,F
198,WNC,38.298304,127.225821,4240402.295,344859.1287,2,0,F
